date,location_type,property_type,area,bedrooms,bathrooms,age,distance_to_city,infrastructure_score,interest_rate,inflation_rate,population_growth,price,year,month,quarter
2015-01-01,Suburban,Condo,1605.9691523187116,2,2,20.64224808618316,9.785511308472211,5.890981127769272,4.053641488952813,1.9687466800300926,1.6567363898072733,423765.1159160256,2015,1,1
2015-01-01,Rural,Condo,2577.188383018987,4,3,14.422991995543535,1.851601639674588,9.173654345877013,4.173920244051982,2.140622795262949,1.5017816986942598,532187.2697312403,2015,1,1
2015-01-01,Rural,Villa,2893.6857833421764,4,3,16.991125059416284,15.334642381666741,5.072349381026637,4.639597444368084,2.0538854468198244,1.631510586078444,579210.3561956465,2015,1,1
2015-01-01,Rural,Apartment,1379.5531507333744,2,2,7.125094762696126,6.127846404378109,7.348507692075353,4.18226471441986,1.896506275974471,1.2979585084620615,257656.09921701826,2015,1,1
2015-01-01,Rural,Townhouse,1624.159391504718,3,2,10.367968255374556,13.578729235755347,6.99836304927525,4.879690811384052,2.9070338667062097,1.529773143056923,293796.10394292045,2015,1,1
2015-01-01,Rural,Townhouse,2330.4360847683674,2,1,17.042062988547794,13.321559703389932,7.456310644140908,4.536036728794996,2.583826051033869,1.3615172215369153,363109.9494863524,2015,1,1
2015-01-01,Urban,Condo,2927.235734030321,3,3,11.242234715620146,6.733620525547538,6.334387883953578,4.594521634428849,2.7930540710096614,1.2575691050011943,774013.6979069778,2015,1,1
2015-01-01,Metropolitan,Condo,2448.2787818292527,2,2,1.1772477366224543,16.846290542664022,5.267978393466356,4.496799473477785,2.605406931589311,1.3296962326049748,936873.0377779895,2015,1,1
2015-01-02,Rural,House,2571.3891958676336,4,2,7.927278954747853,12.730215989560387,4.55189169333406,4.795590440255121,2.2206403949203795,1.2487056485744923,498675.8368034559,2015,1,1
2015-01-02,Rural,Villa,1268.7695569596465,2,2,10.43883284133126,8.16610074486513,5.0150424504929205,4.715214715280554,1.7367490477072252,1.3885516461288654,331484.5059462117,2015,1,1
2015-01-02,Metropolitan,House,2439.2254720307697,3,1,6.748086034444534,11.72644737617671,6.234877632918242,4.82363121155874,3.013984906353168,1.393296362466746,986858.7047057908,2015,1,1
2015-01-02,Rural,Condo,1619.9759686864363,2,1,50.0,4.909035323211379,6.5596297218177435,4.838187300779611,3.1082006494673027,1.7514046588294279,239732.28982286068,2015,1,1
2015-01-03,Urban,Townhouse,1492.0941696944321,2,2,13.551181363029151,25.369103139901302,4.622691964866986,4.672599084123614,3.0423113775559596,1.4718648958718705,410754.9538439775,2015,1,1
2015-01-03,Suburban,Apartment,1420.474400611666,2,2,33.026373300594216,10.62521470387735,4.666112353969274,4.573977952628512,2.4213009975692366,1.5295831557322104,261107.0947882664,2015,1,1
2015-01-03,Rural,Villa,1592.1023360904778,2,2,16.347623612107796,8.980075603587789,4.969049687476085,4.811712370112176,2.644517422312417,1.5093977759711514,373574.76075622736,2015,1,1
2015-01-03,Suburban,Townhouse,807.0671517777996,1,1,8.338218685654393,8.260196429631943,6.091579559729954,4.559129842261444,2.1945196342217055,1.4054250140363165,228408.89198956804,2015,1,1
2015-01-04,Rural,Condo,1224.9703109801555,2,1,24.39958924908419,16.35450756172112,6.356030218946011,4.557619521937137,2.6218907387594355,1.6387986873264107,201813.50732717905,2015,1,1
2015-01-04,Metropolitan,Condo,1276.9573160084599,2,1,18.920245468221882,4.15295499205615,5.600796301926021,4.499469855578333,2.541905443888272,1.6217775482240613,491270.2951406369,2015,1,1
2015-01-04,Metropolitan,Villa,1623.0468718981758,1,1,6.159448974013152,9.525658655157349,5.369301118267352,4.600967234395356,3.5404578013429773,1.6996289788431498,810457.7161154664,2015,1,1
